point,factor,mode,real_per_s,imag_rad_s,abs_difference_to_chosen
117,1,C-,-0.48874079137051452,-7.9629947767882,0.000E+000
117,1,A+,-1.3907790182152064,2.2559468577748403,0.000E+000
117,1,A-,-1.3907790182152064,-2.2559468577748403,0.000E+000
117,1,D,-1.6417014733084938,0,0.000E+000
117,0.33333333333333331,B+,-0.0032122230346099535,0.12112591803499614,4.178E-008
117,0.33333333333333331,B-,-0.0032122230346099535,-0.12112591803499614,4.178E-008
117,0.33333333333333331,E,-0.019832758674180544,0,1.178E-007
117,0.33333333333333331,C+,-0.4887406087828744,7.9629922573126466,2.526E-006
117,0.33333333333333331,C-,-0.4887406087828744,-7.9629922573126466,2.526E-006
117,0.33333333333333331,A+,-1.3907729415131054,2.2559803459790846,3.404E-005
117,0.33333333333333331,A-,-1.3907729415131054,-2.2559803459790846,3.404E-005
117,0.33333333333333331,D,-1.6417016486173273,0,1.753E-007
117,0.1,B+,-0.003212403974920008,0.1211259799630563,1.738E-007
117,0.1,B-,-0.003212403974920008,-0.1211259799630563,1.738E-007
117,0.1,E,-0.019832778664105637,0,1.378E-007
117,0.1,C+,-0.48874148893592739,7.9630029297965859,8.183E-006
117,0.1,C-,-0.48874148893592739,-7.9630029297965859,8.183E-006
117,0.1,A+,-1.3907624048166873,2.2559815599431627,3.847E-005
117,0.1,A-,-1.3907624048166873,-2.2559815599431627,3.847E-005
117,0.1,D,-1.6417000288461034,0,1.444E-006
117,0.03,B+,-0.0032121049001733416,0.12112582881731063,1.815E-007
117,0.03,B-,-0.0032121049001733416,-0.12112582881731063,1.815E-007
117,0.03,E,-0.019832938151475406,0,2.973E-007
117,0.03,C+,-0.48874048661222458,7.9630010782710263,6.309E-006
117,0.03,C-,-0.48874048661222458,-7.9630010782710263,6.309E-006
117,0.03,A+,-1.3907421750790769,2.255983561132497,5.201E-005
117,0.03,A-,-1.3907421750790769,-2.255983561132497,5.201E-005
117,0.03,D,-1.6417018291591943,0,3.559E-007
117,0.01,B+,-0.0032112123955974022,0.12112231664294575,3.782E-006
117,0.01,B-,-0.0032112123955974022,-0.12112231664294575,3.782E-006
117,0.01,E,-0.019824541269628272,0,8.100E-006
117,0.01,C+,-0.48874136458147766,7.96304010478241,4.533E-005
117,0.01,C-,-0.48874136458147766,-7.96304010478241,4.533E-005
117,0.01,A+,-1.3910251584234032,2.2560376484438818,2.624E-004
117,0.01,A-,-1.3910251584234032,-2.2560376484438818,2.624E-004
117,0.01,D,-1.6417005740417439,0,8.993E-007
117,0.003,B+,-0.0032127029066274741,0.12112810972430069,2.202E-006
117,0.003,B-,-0.0032127029066274741,-0.12112810972430069,2.202E-006
117,0.003,E,-0.019835200009768059,0,2.559E-006
117,0.003,C+,-0.48873818395971175,7.9629093246558948,8.549E-005
117,0.003,C-,-0.48873818395971175,-7.9629093246558948,8.549E-005
117,0.003,A+,-1.3908394474022487,2.2559959523742767,7.786E-005
117,0.003,A-,-1.3908394474022487,-2.2559959523742767,7.786E-005
117,0.003,D,-1.6417158472938509,0,1.437E-005
124,100,E,-0.006034082724195965,0,6.027E-003
124,100,B+,-0.0061173228116643621,0.11778175589766579,9.308E-004
124,100,B-,-0.0061173228116643621,-0.11778175589766579,9.308E-004
124,100,C+,-0.42068964925462948,6.4640081259546722,3.421E-005
124,100,C-,-0.42068964925462948,-6.4640081259546722,3.421E-005
124,100,A+,-0.74091100736152427,1.0705339539065328,3.276E-001
124,100,A-,-0.74091100736152427,-1.0705339539065328,3.276E-001
124,100,D,-1.11845107715578,0,8.261E-003
124,30,E,-0.00020414182857192141,0,1.974E-004
124,30,B+,-0.0055400094336329839,0.11712235578627196,5.694E-005
124,30,B-,-0.0055400094336329839,-0.11712235578627196,5.694E-005
124,30,C+,-0.42068995182922148,6.4640409247636379,1.454E-006
124,30,C-,-0.42068995182922148,-6.4640409247636379,1.454E-006
124,30,A+,-0.74120735969281393,0.75107997051032194,8.192E-003
124,30,A-,-0.74120735969281393,-0.75107997051032194,8.192E-003
124,30,D,-1.1263394550525747,0,3.726E-004
124,10,E,-2.2827212368976161E-05,0,1.604E-005
124,10,B+,-0.0055194352117469382,0.11707559289055192,5.867E-006
124,10,B-,-0.0055194352117469382,-0.11707559289055192,5.867E-006
124,10,C+,-0.42068995973763251,6.46404364519835,1.354E-006
124,10,C-,-0.42068995973763251,-6.46404364519835,1.354E-006
124,10,A+,-0.74121472524837562,0.74353467680615992,6.470E-004
